<<<<<<< HEAD
state,district,year_month,monthly_updates,avg_youth_ratio,rolling_6m_avg,migration_spike_score,spike_flag
100000,100000,2025-12,2,0.0,2.0,1.0,NORMAL
Andaman & Nicobar Islands,Andamans,2025-09,114,0.009782608695652175,114.0,1.0,NORMAL
Andaman & Nicobar Islands,Andamans,2025-10,66,0.034188034188034185,90.0,0.7333333333333333,NORMAL
Andaman & Nicobar Islands,Andamans,2025-11,162,0.0,114.0,1.4210526315789473,NORMAL
Andaman & Nicobar Islands,Andamans,2025-12,213,0.004518072289156626,138.75,1.5351351351351352,HIGH_SPIKE
Andaman & Nicobar Islands,Nicobars,2025-11,3,0.0,3.0,1.0,NORMAL
Andaman & Nicobar Islands,South Andaman,2025-09,58,0.024324324324324326,58.0,1.0,NORMAL
Andaman & Nicobar Islands,South Andaman,2025-10,31,0.04,44.5,0.6966292134831461,NORMAL
Andaman & Nicobar Islands,South Andaman,2025-11,77,0.005952380952380952,55.333333333333336,1.391566265060241,NORMAL
Andaman & Nicobar Islands,South Andaman,2025-12,70,0.007575757575757575,59.0,1.1864406779661016,NORMAL
Andaman And Nicobar Islands,Nicobar,2025-03,196,0.0816326530612244,196.0,1.0,NORMAL
Andaman And Nicobar Islands,Nicobar,2025-09,118,0.04807692307692308,157.0,0.7515923566878981,NORMAL
Andaman And Nicobar Islands,Nicobar,2025-10,45,0.09312169312169312,119.66666666666667,0.37604456824512533,NORMAL
Andaman And Nicobar Islands,Nicobar,2025-11,83,0.07389162561576354,110.5,0.751131221719457,NORMAL
Andaman And Nicobar Islands,Nicobar,2025-12,58,0.15432098765432098,100.0,0.58,NORMAL
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,211,0.0473933649289099,211.0,1.0,NORMAL
Andaman And Nicobar Islands,North And Middle Andaman,2025-07,219,0.091324200913242,215.0,1.0186046511627906,NORMAL
Andaman And Nicobar Islands,North And Middle Andaman,2025-09,175,0.03423698942566867,201.66666666666666,0.8677685950413223,NORMAL
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,133,0.08088699494949496,184.5,0.7208672086720868,NORMAL
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,243,0.07133661210584287,196.2,1.2385321100917432,NORMAL
Andaman And Nicobar Islands,North And Middle Andaman,2025-12,315,0.02711279461279461,216.0,1.4583333333333333,NORMAL
Andaman And Nicobar Islands,South Andaman,2025-03,524,0.15119085140500974,524.0,1.0,NORMAL
Andaman And Nicobar Islands,South Andaman,2025-09,325,0.1229787993628824,424.5,0.7656065959952886,NORMAL
Andaman And Nicobar Islands,South Andaman,2025-10,275,0.1770094562647754,374.6666666666667,0.7339857651245552,NORMAL
Andaman And Nicobar Islands,South Andaman,2025-11,587,0.12736736585547523,427.75,1.3722969023962595,NORMAL
Andaman And Nicobar Islands,South Andaman,2025-12,927,0.10386290554198582,527.6,1.7570128885519332,HIGH_SPIKE
Andhra Pradesh,Adilabad,2025-03,3656,0.09955710782213319,3656.0,1.0,NORMAL
